Site,Address,Category,Subcategory,Status,Longitude,Latitude
Helping Hands Nonprofit Organization,4667 Paul St.,SHARE FOOD PROGRAM,Food Site,Active,,
True Vine Worship Center,521-23 W. Lehigh Ave.,SHARE FOOD PROGRAM,Food Site,Active,,
Small Things Philly Market - Fairhill,3510 A St.,Small Things Philly,Food Site,Active,,
African Family Health Organization,5400 Grays Ave,SHARE FOOD PROGRAM,Food Site,Active,,
Mighty Writers West,3520 Fairmount Ave.,PHILABUNDANCE/SHARE FOOD PROGRAM,Food Site,Active,,
First Haitian Church of God of Prophecy,199 E. Tabor Ave.,SHARE FOOD PROGRAM,Food Site,Active,,
,,,,,,
Epiphany Fellowship Church Community Fridge,1632 W Diamond St,Community Refrigerators,Food Site,Active,,
Friends Pantry & Community Fridge,320 Arch Street,Community Refrigerators,Food Site,Active,,
Mt. Airy Community Fridge,6900 Stenton Ave,Community Refrigerators,Food Site,Active,,
St James School Community Fridge,3217 West Clearfield St,Community Refrigerators,Food Site,Active,,
The People's Fridge,125 South 52nd St,Community Refrigerators,Food Site,Active,,
Ian-Yae's In Touch,2524 N. 27th St.,Office of Homeless Services,General Meal Site,Active,,
Brothers of Strawberry Mansion Clifford St.,3223 W Clifford St,SHARE FOOD PROGRAM,Food Site,Active,,
"Food Pantry For Hope, Memorial Presbyterian Church of Fox Chase",7902 Oxford Ave.,General Food Site,Food Site,Active,,
Narberth Presbyterian Church,200 N 19th St.,Office of Homeless Services,General Meal Site,Active,,
Small Things Philly Market - House of Hope,1300 W. Hunting Park Ave,Small Things Philly,Food Site,Active,,
Operation Save Our City,2774 Kensington Ave,Office of Homeless Services,General Meal Site,Active,,
Center-Philadelphia/Arch Street United Methodist,55 N. Broad Street,Office of Homeless Services,General Meal Site,Active,,
KCVC - Keeping It Real Christian Fellowship,17th & Benjamin Franklin Parkway,Office of Homeless Services,General Meal Site,Active,,
La Salle College High School,Benjamin Franklin Parkway and Vine St. (Logan Square next to Pennypacker Memorial),Office of Homeless Services,General Meal Site,Active,,
"Feeding 5,000 a NJ Non-Profit Corp",Logan Square (200 N 19th St.),Office of Homeless Services,General Meal Site,Active,,
Beulah Baptist Church,Love Park (JFK Blvd and N 15th St.),Office of Homeless Services,General Meal Site,Active,,
Episcopal Community Service St. Barnabas Community Resource Center,6006 West Girard Ave,SHARE FOOD PROGRAM,Food Site,Active,,
